"businessLegalName","doingBusinessAsName","businessAddressText","streetAddressText","cityName","stateCode","zipCode","sectionCodeList"
"LILLIAN B HUNT MD PC","LILLIAN B HUNT MD PC","4501 ARLINGTON BLVD # 120 ARLINGTON VA 22203-2739","4501 ARLINGTON BLVD","ARLINGTON","VA","22203-2739","57A: Professional"
"01 COMMUNIQUE LABORATORY INC","","1100 N GLEBE RD # 1010 ARLINGTON VA 22201-5786","1100 N GLEBE RD","ARLINGTON","VA","22201-5786","61: Retail Merchant"
"1000-1100 REIT LLC","1000-1100 WILSON OWNER LLC","1100 WILSON BLVD ARLINGTON VA 22209-2249","1100 WILSON BLVD","ARLINGTON","VA","22209-2249","71B: Renting Commercial Real Estate"
"1000-1100 REIT LLC","1000-1100 WILSON OWNER LLC","1000 WILSON BLVD ARLINGTON VA 22209-3927","1000 WILSON BLVD","ARLINGTON","VA","22209-3927","591: Parking Garages/Lots, 71B: Renting Commercial Real Estate"
"1021 CLARENDON LLC","","","","","","","71A: Renting Residential Property"
"1032SOUTH16SJRA LLC","","","","","","","71A: Renting Residential Property"
"1035 NORTH GEORGE MASON DRIVE LLC","","","","","","","71A: Renting Residential Property"
"1054 MONROE LLC","","3425 GREENTREE DR FALLS CHURCH VA 22041-1436","3425 GREENTREE DR","FALLS CHURCH","VA","22041-1436","71A: Renting Residential Property"
"1056 MONROE LLC","","3425 GREENTREE DR FALLS CHURCH VA 22041-1436","3425 GREENTREE DR","FALLS CHURCH","VA","22041-1436","71A: Renting Residential Property"
"108 NORTH 7TH STREET RICHMOND LLC","","2200 CLARENDON BLVD # 1201 ARLINGTON VA 22201-3331","2200 CLARENDON BLVD","ARLINGTON","VA","22201-3331","57B: Specialized"
"10TH STREET FLATS LLC","","4401 WILSON BLVD # 600 ARLINGTON VA 22203-4195","4401 WILSON BLVD","ARLINGTON","VA","22203-4195","71A: Renting Residential Property"
"1101 FERN ST INC","","210 E STATE RT 4 PARAMUS NJ 07652-0910","210 E STATE RT 4","PARAMUS","NJ","07652-0910","71B: Renting Commercial Real Estate"
"1101 REIT LLC","1101 WILSON OWNER LLC","1000 WILSON BLVD # 700 ARLINGTON VA 22209-3906","1000 WILSON BLVD","ARLINGTON","VA","22209-3906","591: Parking Garages/Lots, 71B: Renting Commercial Real Estate"
"1110 NORTH KENSINGTON STREET LP","","PO BOX 5395 ARLINGTON VA 22205-0495","PO BOX 5395","ARLINGTON","VA","22205-0495","71A: Renting Residential Property"
"1111 19TH STREET LLC","","1111 19TH ST N # 1509 ARLINGTON VA 22209-1716","1111 19TH ST N","ARLINGTON","VA","22209-1716","71A: Renting Residential Property"
"1117 NORTH KENILWORTH STREET LP","","PO BOX 5395 ARLINGTON VA 22205-0495","PO BOX 5395","ARLINGTON","VA","22205-0495","71A: Renting Residential Property"
"112 S PARK DRIVE LLC","","","","","","","71A: Renting Residential Property"
"1125 NORTH KENILWORTH STREET LP","","PO BOX 5395 ARLINGTON VA 22205-0495","PO BOX 5395","ARLINGTON","VA","22205-0495","71A: Renting Residential Property"
"11400 INC","","2207 OLD PHILADELPHIA PIKE LANCASTER PA 17602-3416","2207 OLD PHILADELPHIA PIKE","LANCASTER","PA","17602-3416","64: Contractors"
"11720 COURTHOUSE LLC","","1680 WISCONSIN AVE NW # 300 WASHINGTON DC 20007-2766","1680 WISCONSIN AVE NW","WASHINGTON","DC","20007-2766","71B: Renting Commercial Real Estate"
"11TH STREET APARTMENTS LLC","","4138 N RIVER ST MC LEAN VA 22101-5816","4138 N RIVER ST","MC LEAN","VA","22101-5816","71A: Renting Residential Property"
"1200 EADS ST INC","THE BARTLETT","520 12TH ST S ARLINGTON VA 22202-4211","520 12TH ST S","ARLINGTON","VA","22202-4211","591: Parking Garages/Lots, 71A: Renting Residential Property, 71B: Renting Commercial Real Estate, 72: Lodging"
"1200 REIT LLC","1200 PROPERTY ASSOCIATES LLC","1000 WILSON BLVD # 700 ARLINGTON VA 22209-3906","1000 WILSON BLVD","ARLINGTON","VA","22209-3906","591: Parking Garages/Lots, 71B: Renting Commercial Real Estate"
"1210 NORTH HIGHLAND STREET - CLARENDON LP","VPOINT APARTMENT / THE VIEWS AT CLARENDON","1210 N HIGHLAND ST # B ARLINGTON VA 22201-5018","1210 N HIGHLAND ST","ARLINGTON","VA","22201-5018","71A: Renting Residential Property"
"1211 SOUTH EADS STREET  LLC","","","","","","","71A: Renting Residential Property"
"1228 TAYLOR LLC","","3425 GREENTREE DR FALLS CHURCH VA 22041-1436","3425 GREENTREE DR","FALLS CHURCH","VA","22041-1436","71A: Renting Residential Property"
"1300 ARLINGTON RIDGE LLC","","1300 S ARLINGTON RIDGE RD # 302 ARLINGTON VA 22202-1931","1300 S ARLINGTON RIDGE RD","ARLINGTON","VA","22202-1931","71A: Renting Residential Property"
"1301 N COURTHOUSE RD #502 LLC","","","","","","","71A: Renting Residential Property"
"1307 N HIGHLAND STREET LLC","","1307 N HIGHLAND ST ARLINGTON VA 22201-7036","1307 N HIGHLAND ST","ARLINGTON","VA","22201-7036","71B: Renting Commercial Real Estate"
"131 SOUTH COURTHOUSE ROAD LLC","","","","","","","71A: Renting Residential Property"
"1400 EADS ST INC","","2345 CRYSTAL DR ARLINGTON VA 22202-4801","2345 CRYSTAL DR","ARLINGTON","VA","22202-4801","591: Parking Garages/Lots, 71B: Renting Commercial Real Estate"
"1400 REIT LLC","NASH STREET PROPERTY ASSOCIATES LLC","1400 KEY BLVD ARLINGTON VA 22209-1556","1400 KEY BLVD","ARLINGTON","VA","22209-1556","591: Parking Garages/Lots, 71B: Renting Commercial Real Estate"
"1400 WILSON BLVD LLC","","","","","","","71B: Renting Commercial Real Estate"
